time,a1_FR,a2_FR,a1_FL,a2_FL,a1_RR,a2_RR,a1_RL,a2_RL
0.0,0.0,-0.1,1.0409497792752501e-16,-0.09999999999999992,1.0409497792752501e-16,-0.09999999999999992,0.0,-0.1
0.01,0.10653324852965862,-0.012266736504987025,-0.10653324852965863,-0.18773326349501301,-0.10653324852965863,-0.18773326349501301,0.10653324852965862,-0.012266736504987025
0.02,0.21138640409012657,0.07408292101539835,-0.21138640409012638,-0.2740829210153982,-0.21138640409012638,-0.2740829210153982,0.21138640409012657,0.07408292101539835
0.03,0.3129058697819762,0.15768718687927455,-0.3129058697819762,-0.3576871868792746,-0.3129058697819762,-0.3576871868792746,0.3129058697819762,0.15768718687927455
0.04,0.409490622986458,0.23722757187120072,-0.4094906229864577,-0.4372275718712004,-0.4094906229864577,-0.4372275718712004,0.409490622986458,0.23722757187120072
0.05,0.49961746444860217,0.3114496766047312,-0.49961746444860206,-0.5114496766047311,-0.49961746444860206,-0.5114496766047311,0.49961746444860217,0.3114496766047312
0.06,0.5818650400393853,0.37918297415008195,-0.5818650400393854,-0.5791829741500821,-0.5818650400393854,-0.5791829741500821,0.5818650400393853,0.37918297415008195
0.07,0.6549362563594209,0.4393592699430524,-0.654936256359421,-0.6393592699430525,-0.654936256359421,-0.6393592699430525,0.6549362563594209,0.4393592699430524
0.08,0.7176787366767128,0.4910295478514105,-0.7176787366767126,-0.6910295478514104,-0.7176787366767126,-0.6910295478514104,0.7176787366767128,0.4910295478514105
0.09,0.7691029945961166,0.5333789367262137,-0.7691029945961164,-0.7333789367262135,-0.7691029945961164,-0.7333789367262135,0.7691029945961166,0.5333789367262137
0.1,0.8083980388508805,0.5657395614066074,-0.8083980388508805,-0.7657395614066074,-0.8083980388508805,-0.7657395614066074,0.8083980388508805,0.5657395614066074
0.11,0.8349441631193854,0.587601075510082,-0.8349441631193854,-0.7876010755100821,-0.8349441631193854,-0.7876010755100821,0.8349441631193854,0.587601075510082
0.12,0.8483227191640308,0.59861870989979,-0.8483227191640308,-0.79861870989979,-0.8483227191640308,-0.79861870989979,0.8483227191640308,0.59861870989979
0.13,0.8483227191640308,0.59861870989979,-0.8483227191640308,-0.79861870989979,-0.8483227191640308,-0.79861870989979,0.8483227191640308,0.59861870989979
